Scenario,Distance,BaselineSpeed_Mean,BaselineTime_Mean,BaselineCO2_Mean,BaselineEnergy_Mean,HLSpeed_Mean,HLTime_Mean,HLCO2_Mean,HLEnergy_Mean,BaselineExports,HLExports,DiffPercent
S1,800,93.27,10.01,22.18,100.03,899.77,1,2,54.94,0.049,0.104,114.33
S2,1500,93.35,16,39.98,178.43,900.46,1.6,3,99.99,0.031,0.067,117.97
S3,900,115.02,8.5,20,99.97,900.52,1.1,2.5,60.04,0.047,0.095,102.65
S4,500,90.03,5.5,13.84,60.04,900.17,0.5,1.5,35,0.069,0.146,110.35
S5,600,109.97,5.5,16,69.94,899.56,0.6,1.5,39.99,0.062,0.129,107.3
S6,2245,100.12,28.18,224.83,500.18,434.97,3.2,6.91,313.31,0.02,0.042,105.06
S7,1200,104.97,11.5,31.15,140.05,950.32,1.25,2.5,79.97,0.037,0.08,114.84
S8,1100,115,9.5,27.83,119.97,950.12,1.15,2.7,69.95,0.04,0.084,109.01
S9,750,91.58,8.5,19.98,80.02,899.53,0.85,2.01,45,0.052,0.11,112.85
S10,1000,85.04,11.5,28.17,120.07,950.24,1.1,2.5,69.99,0.041,0.09,118.96
S11,6000,83.36,75.01,131.64,499.8,950.05,6.5,35.02,300.09,0.011,0.022,98.02
S12,1200,91.61,12.5,34,140.04,899.92,1.35,3.5,79.98,0.036,0.077,112.79
